评论者昵称,评论内容,cleaned_content,segmented_content,情感分析结果,解析
九月七安rostiute,稻米们，快出来，要不然运气跟吴邪一样，记忆力跟张起灵一样，财运跟黑瞎子一样（当然，高考不算咯，祝即将高考的人，高考顺利，考的全会，蒙的全对,稻米们 快出来 要不然运气跟吴邪一样 记忆力跟张起灵一样 财运跟黑瞎子一样 当然 高考不算咯 祝即将高考的人 高考顺利 考的全会 蒙的全对,稻米 出来 运气 吴邪 记忆力 张起 财运 黑瞎子 当然 高考 不算 即将 高考 高考 顺利 全会 全对,1,该评论使用了“高考顺利”“考的全会”“蒙的全对”等积极祝福语，表达了对高考考生的鼓励和支持，整体情感倾向为正面。
肆年,戏曲或傩戏×陈伶!,戏曲或傩戏 陈伶,戏曲 傩戏 陈伶,0,该评论仅提及“戏曲或傩戏”和“陈伶”两个元素，未表达明确的情感态度或评价。内容属于客观陈述或简单列举，没有使用积极或消极的词汇，因此整体情感倾向为中性。
千晴（国庆再回来）,来看梁sir,来看梁sir,来看 sir,0,该评论仅表达了观看梁sir的行为，没有使用任何带有明显情感倾向的词汇，也没有表达出喜爱、批评或期待等情绪，属于中性陈述。
若鹜vi～,老师，我们家格蕾丝不说话呢？😭🤓,老师 我们家格蕾丝不说话呢,老师 格蕾丝 说话,0,该评论以家长询问孩子情况的口吻陈述事实，仅表达“格蕾丝不说话”这一观察，未使用明显褒贬词汇或情绪化表达，整体情感倾向中性。
中式美学研究所,文化传承任重道远,文化传承任重道远,文化 传承 任重道远,0,该评论陈述了“文化传承任重道远”这一客观事实，表达了对文化传承长期性和艰巨性的认知，但未使用明显的情感词汇或表达个人立场，因此整体情感倾向为中性。
吾乃喵小唐（发疯中）,求求了，来个历喵的吧,求求了 来个历喵的吧,求求 来个,0,该评论表达了用户对特定内容（历喵）的期待或请求，使用了“求求了”这样的恳切语气，但并未直接表达对现有内容的积极或消极评价，更多是提出愿望，因此整体情感倾向为中性。
是楚银月洛小姐呀（暂退）,有吴邪,有吴邪,吴邪,0,该评论仅提及角色名称“吴邪”，未附加任何情感词汇或评价性表达，属于客观陈述，没有明显的情感倾向。
Lubeck杏仁糖,梁月警长可爱捏,梁月警长可爱捏,梁月 警长 可爱,1,评论中使用了“可爱捏”这一网络流行语，带有亲昵和喜爱的语气，表达了对梁月警长的赞赏和好感，整体情感倾向为正面。
满山猴我腚最红,你猜渔女为什么没有台词,你猜渔女为什么没有台词,渔女 没有 台词,-1,该评论以反问句式暗示渔女角色设计存在缺陷或疏忽，带有质疑和不满的情绪。虽然没有直接使用负面词汇，但隐含的批评意味明显，整体情感倾向为负面。
烟雨（愿舟平安）,我们这的非遗是布糊画，其实我想过如果用布糊画的技艺做类似于不织布的东西，就是做成周边啥的，能不能发扬一下呢,我们这的非遗是布糊画 其实我想过如果用布糊画的技艺做类似于不织布的东西 就是做成周边啥的 能不能发扬一下呢,遗是 布糊画 用布 糊画 技艺 类似 织布 东西 做成 周边 发扬,1,评论中表达了“发扬一下”的积极愿望，并提出了将非遗技艺与周边产品结合的具体想法，体现了对传统文化的关注和推广热情，整体情感倾向为正面。
Amy,谁懂道诡异仙出来的救赎感？,谁懂道诡异仙出来的救赎感,诡异 出来 救赎,1,评论中“救赎感”一词表达了强烈的积极情感，暗示作品带来了精神上的解脱或治愈体验。“谁懂”的表述方式带有共鸣寻求的意味，整体传递出对作品价值的认可和情感上的满足。
张起灵,戏服×解雨臣,戏服 解雨臣,戏服 解雨臣,0,该评论仅提及角色名称“解雨臣”及“戏服”，未表达任何主观评价或情感倾向，属于陈述性内容，无明显正面或负面情绪。
西棠,啊啊啊！京剧猫！！！,啊 京剧猫,京剧,1,该评论以感叹词“啊”开头，表达惊喜或怀念之情，结合“京剧猫”这一具体文化元素，整体传递出积极、亲切的情感倾向，属于正面评价。
朝暮,谁懂渔女还有哪吒出来时的救赎感,谁懂渔女还有哪吒出来时的救赎感,渔女 哪吒 出来 救赎,1,评论中“救赎感”一词带有强烈的积极情感色彩，暗示角色出场带来了希望或解脱的正面体验，整体表达了对游戏情节或角色的认可与喜爱。
路德怎么可能用来嬷啊？！,有没有稻米啊,有没有稻米啊,有没有 稻米,0,该评论仅询问“有没有稻米”，是一种中性的信息询问或群体寻找，没有表达明显的积极或消极情绪，也未涉及评价性内容，因此情感倾向为中性。
朝仓绘璃🌟,知道渔女因为嗓子不能说话,知道渔女因为嗓子不能说话,知道 渔女 嗓子 说话,0,该评论仅陈述了“渔女因为嗓子不能说话”这一事实，没有表达明显的褒贬态度或情感倾向，属于客观描述，因此情感倾向为中性。
你在说一遍,胡说，我们非遗一点都不土！我甚至都想去干这个，但我爸妈不让说我会把自己饿死。,胡说 我们非遗一点都不土 我甚至都想去干这个 但我爸妈不让说我会把自己饿死,胡说 非遗 不土 爸妈 不让 我会 饿死,1,评论以“胡说”开头反驳非遗“土”的观点，并表达“想去干这个”的积极意愿，虽然提到父母反对，但整体强调对非遗的认同和热情，情感倾向为正面。
lx三千,虽然但是cos的真的很神！！,虽然但是cos的真的很神,cos 很神,1,评论中“真的很神”是高度赞扬的表达，尽管开头有“虽然但是”表示转折，但整体仍聚焦于对cos质量的积极肯定，情感倾向明确为正面。
栀屿（杂更）,居然有苏苏,居然有苏苏,居然 苏苏,1,评论中“居然有苏苏”表达了惊喜和喜悦之情，“居然”一词在此处带有意外发现的积极意味，显示出对内容出现的满意和欢迎态度，整体情感倾向为正面。
🎧,庄里人都出来吧,庄里人都出来吧,庄里 出来,0,该评论仅以“庄里人都出来吧”作为号召性语句，邀请特定群体出现或参与，本身不包含明显的积极或消极情感词汇，也未表达明确的褒贬态度，因此情感倾向为中性。
9522989174,看到楚念哥哥了,看到楚念哥哥了,看到 楚念 哥哥,1,该评论使用了“哥哥”这一亲昵称呼，表达了对角色“楚念”的喜爱和亲切感，整体语气积极且带有粉丝向的热情，情感倾向为正面。
人机黄歪哈,老师老师，傩戏可以搭陈伶吗？（这个算ky吗？如果算的话，就跳过吧）,老师老师 傩戏可以搭陈伶吗 这个算ky吗 如果算的话 就跳过吧,老师 老师 傩戏 陈伶 ky,0,该评论以询问和商量的语气为主，询问傩戏与陈伶的搭配是否合适，并主动提出若算ky则跳过，表现出谨慎和尊重他人意见的态度，没有明显的正面或负面情绪表达。
羽雷上学好忙,多坑看着好爽好爽,多坑看着好爽好爽,多坑 看着 好爽 好爽,1,评论中重复使用“好爽好爽”这一强烈积极词汇，表达了对多坑内容的兴奋和满足感，整体情感倾向明显为正面。
ヨーグルト,我去！梁月,我去 梁月,梁月,0,该评论仅提及“梁月”这一名称，未表达明确的情感态度或评价。用语简洁，缺乏积极或消极的情感词汇，因此整体情感倾向为中性。
派蒙,有没有人觉得魈也挺配傩面的,有没有人觉得魈也挺配傩面的,有没有 挺配 傩面,0,该评论以询问方式探讨角色与道具的搭配可能性，使用了“也挺配”这一中性表达，未包含明显的积极或消极情感词汇，更多是提出个人观察或引发讨论，整体情感倾向为中性。
自由的我,吴邪,吴邪,吴邪,0,该评论仅提及角色名称“吴邪”，未表达任何情感色彩或评价性内容，属于客观陈述，因此情感倾向为中性。
土豆,天官赐福！好宝宝,天官赐福 好宝宝,天官赐福 宝宝,1,该评论使用了“好宝宝”这一亲昵的褒义词汇，表达了对《天官赐福》或其角色的喜爱与赞赏，整体语气亲切积极，情感倾向为正面。
Jia,京剧猫！,京剧猫,京剧,0,该评论仅提及“京剧猫”这一名称，未包含任何表达情感倾向的词汇或观点，属于客观陈述，因此情感倾向为中性。
呓.,箱里人出来吧,箱里人出来吧,箱里 出来,0,该评论“箱里人出来吧”是一种网络用语，可能指代特定群体或情境，但本身没有表达明确的情感倾向，既无积极词汇也无负面情绪，属于中性表达。
蔡F乐松不言,关注啦关注啦,关注啦关注啦,关注 关注,1,评论中重复使用“关注啦”表达积极行动和参与意愿，语气热情主动，体现了对相关内容或账号的认可与支持，整体情感倾向为正面。
Natalie.秋果.🍂,我看见了什么了？我竟然看见了京剧猫！,我看见了什么了 我竟然看见了京剧猫,看见 看见 京剧,1,评论中使用了“我看见了什么了”和“竟然看见了”等表达惊喜和意外的措辞，结合提及“京剧猫”这一具体内容，整体传达出发现喜爱事物的兴奋与积极情绪，情感倾向为正面。
Alice🎀,评论区所有“看四字小说的来，不然运气和吴邪一样”全部反弹,评论区所有 看四字小说的来 不然运气和吴邪一样 全部反弹,评论 所有 看四字 小说 运气 吴邪 全部 反弹,-1,评论通过“运气和吴邪一样”的类比（吴邪是《盗墓笔记》中常遇险境的主角），暗示负面结果，并以“全部反弹”表达强烈的排斥和诅咒意图，整体带有明显的攻击性和不满情绪。
青染,怎么有一半都是我混过的圈？,怎么有一半都是我混过的圈,一半 混过,0,该评论仅陈述了“有一半是我混过的圈”这一事实，表达了观察到的现象，但没有明显的积极或消极情绪表达，整体情感倾向为中性。
隔壁好像打起来了,吴邪小狗,吴邪小狗,吴邪 小狗,1,评论中“小狗”一词常用于网络语境中表达对角色或人物的喜爱与亲昵，带有明显的积极情感色彩，体现了对吴邪这一角色的好感与亲近感。
阿霜喵,暖暖也是和好多个非遗项目搞了联动，云锦、苏绣什么的,暖暖也是和好多个非遗项目搞了联动 云锦 苏绣什么的,好多个 非遗 项目 联动 云锦 苏绣,1,该评论列举了暖暖与非遗项目（云锦、苏绣）的联动案例，语气陈述中带有展示和提及的意味，隐含了对这种文化联动形式的认可或积极关注，整体情感倾向为正面。
蓝莓渔酱呀,啊啊啊渔渔太来了！,啊渔渔太来了,渔渔太来,1,评论中使用了“太来了”这一网络用语，表达了对“渔渔”出现的兴奋和欢迎之情，带有明显的喜悦和期待情绪，整体情感倾向为正面。
流浪者,魈和云堇算不算呢,魈和云堇算不算呢,算不算,0,该评论仅询问“魈和云堇算不算呢”，属于对角色或内容的客观询问，没有表达明显的喜爱、批评或情绪倾向，因此情感判断为中性。
靠普,?不是重返未来，咋都出来了,不是重返未来 咋都出来了,重返 未来 出来,-1,该评论表达了困惑和不满，通过反问句式“咋都出来了”暗示对内容或角色出现的不合理感到意外和失望，整体情感倾向为负面。
西梓,如果是真的传承人怎么会说自己家的技艺老土啊？！现在传承人都喜欢蹭别的圈流量吗？真是，要传承不下去的感觉诶,如果是真的传承人怎么会说自己家的技艺老土啊 现在传承人都喜欢蹭别的圈流量吗 真是 要传承不下去的感觉诶,传承 技艺 老土 现在 传承 喜欢 流量 真是 传承 下去,-1,评论通过质疑传承人批评自家技艺“老土”和“蹭流量”的行为，表达了对其传承态度和动机的不满与失望，结尾“要传承不下去的感觉”更强化了负面评价，整体情感倾向为负面。
